folder,pdf_count,word_count,char_count,pdfs_with_no_extracted_text,avg_words_per_pdf
Health,41,2618516,18391435,0,63866.243902439026
Energy,85,1262003,8310328,0,14847.094117647059
Environment,60,1208439,8142292,0,20140.65
Buildings,31,1169290,7150535,0,37719.032258064515
Management,62,987391,6636679,0,15925.661290322581
Training ,27,629902,4359961,0,23329.703703703704
Food,42,482530,3429038,0,11488.809523809523
Wine,11,254604,1674822,0,23145.81818181818
Hydropower,8,231070,1526554,0,28883.75
Property,82,219427,1341278,15,2675.939024390244
Agriculture,13,175010,1269444,0,13462.307692307691
Cyber,16,36151,233994,0,2259.4375
Maritime,37,29441,193862,0,795.7027027027027
Aviation,9,20242,128783,0,2249.1111111111113
.ipynb_checkpoints,0,0,0,0,0.0
